concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
700001,sertraline,Drug,Synthetic,Ingredient,S,SYN_700001,1970-01-01,2099-12-31,
700002,escitalopram,Drug,Synthetic,Ingredient,S,SYN_700002,1970-01-01,2099-12-31,
700010,haloperidol,Drug,Synthetic,Ingredient,S,SYN_700010,1970-01-01,2099-12-31,
700011,risperidone,Drug,Synthetic,Ingredient,S,SYN_700011,1970-01-01,2099-12-31,
700020,diazepam,Drug,Synthetic,Ingredient,S,SYN_700020,1970-01-01,2099-12-31,
700030,zolpidem,Drug,Synthetic,Ingredient,S,SYN_700030,1970-01-01,2099-12-31,
700040,metoprolol,Drug,Synthetic,Ingredient,S,SYN_700040,1970-01-01,2099-12-31,
700050,amoxicillin,Drug,Synthetic,Ingredient,S,SYN_700050,1970-01-01,2099-12-31,
700060,lamotrigine,Drug,Synthetic,Ingredient,S,SYN_700060,1970-01-01,2099-12-31,
1332419,amlodipine 5 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,197361,1970-01-01,2099-12-31,
19080128,lisinopril 10 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,314076,1970-01-01,2099-12-31,
19078106,hydrochlorothiazide 25 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,978004,1970-01-01,2099-12-31,
